,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
6899,1475704978538852354,1475704978538852354,1640670458000.0,2021-12-28 05:47:38,+0000,,"Tyda pernah mengalami klitih secara langsung, tapi sering denger berita orang disabet samurai, dibacok pake golok (tmn sendiri), jadi ditusuk sampai meninggal (alumni ugm), dan pernah liat rombongan orang di pom bensin Jakal malam2, bawa sajam. #SriSultanYogyaDaruratKlithih",in,['srisultanyogyadaruratklithih'],[],328288918,328288918,Ssslaviours,Siapa tahu kamu tahu aku.,2,05,https://twitter.com/Ssslaviours/status/1475704978538852354,[],[],0,,False,0,1,0,,klitih,,,,,,,[],,,,
6900,1475704951909203968,1475704951909203968,1640670452000.0,2021-12-28 05:47:32,+0000,,"Kepikiran bojoku ngger melbu bengi, po bar shift sore. Kepikiran neng ndalan wedi nek keno klitih.. Jian meresahkan teman. #YogyaTidakAman #Klitih",in,"['yogyatidakaman', 'klitih']",[],546791265,546791265,MbaEvy,Evy Wulandari,2,05,https://twitter.com/MbaEvy/status/1475704951909203968,[],[],0,,False,2,2,0,,klitih,,,,,,,[],,,,
6901,1475704931361329158,1475704931361329158,1640670447000.0,2021-12-28 05:47:27,+0000,,#Klitih  #SriSultanYogyaDaruratKlithih  #YogyaTidakAman,und,"['klitih', 'srisultanyogyadaruratklithih', 'yogyatidakaman']",[],1275616087829176320,1275616087829176320,cayourprincess,fullsun☀️,2,05,https://twitter.com/cayourprincess/status/1475704931361329158,[],[],0,,False,0,0,0,,klitih,,,,,,,[],,,,
6902,1475704910981197828,1475704910981197828,1640670442000.0,2021-12-28 05:47:22,+0000,,Jogja lagi banyak klitih ya :(  serem banget ya Allah,in,[],[],2834568640,2834568640,awmarkie,Luna 🐯 CLOSE COMMIS,2,05,https://twitter.com/awmarkie/status/1475704910981197828,[],[],0,,False,1,5,0,,klitih,,,,,,,[],,,,
6903,1475704891418943490,1475704891418943490,1640670438000.0,2021-12-28 05:47:18,+0000,,Newcastle United Nyaris Klitih Manchester United saat bertamu ke St James Park. Akibatnya fans GGMU meradang hebat.  https://t.co/MTI6H8Ab8q #YogyaTidakAman,in,['yogyatidakaman'],[],1472082308941303809,1472082308941303809,dkylb_media,DKYLB,2,05,https://twitter.com/dkylb_media/status/1475704891418943490,['https://www.dkylb.com/terkini/pr-3182273377/legenda-setan-merah-semprot-ulah-ronaldo-yang-gontai-dan-wajah-memble-saat-the-toons-nyaris-bikin-mu-hampa'],[],0,,False,0,0,0,,klitih,,,,,,,[],,,,
6904,1475704880119508996,1475704880119508996,1640670435000.0,2021-12-28 05:47:15,+0000,,Liat trending klitih jogja ngeri bgt. Ga ada tempat aman,in,[],[],290512967,290512967,inibukanros,ka 🍀,2,05,https://twitter.com/inibukanros/status/1475704880119508996,[],[],0,,False,0,0,0,,klitih,,,,,,,[],,,,
6905,1475704782773837824,1475704782773837824,1640670412000.0,2021-12-28 05:46:52,+0000,,jogjakarta harusnya berhati nyaman..  klitih merusak kenyamanannya #SriSultanYogyaDaruratKlitih,in,['srisultanyogyadaruratklitih'],[],1442497566248112134,1442497566248112134,syahfrudinprole,syahfrudinproletar,2,05,https://twitter.com/syahfrudinprole/status/1475704782773837824,[],[],0,,False,0,0,0,,klitih,,,,,,,[],,,,
6906,1475704777170292738,1475704777170292738,1640670410000.0,2021-12-28 05:46:50,+0000,,"Ini para pelaku klitih harusnya diadu aja sama bocahan Katak Bizher, Bokir Sasmita, dkk. Seru kayaknya 🤓",in,[],[],106318460,106318460,ramarizk,Dhanu,2,05,https://twitter.com/ramarizk/status/1475704777170292738,[],[],0,,False,2,2,2,,klitih,,,,,,,[],,,,
6907,1475704763425562624,1475704763425562624,1640670407000.0,2021-12-28 05:46:47,+0000,,"ASTAGHFIRULLAH Jejak Digital YAHYA STAQUF ajak tinggalkan ALQURAN &amp; HADIST  Islam &amp; Yahudi perlu perubahan, Quran &amp; Hadist sesuai kontek saat itu pada dasarnya dokumen Sejarah  https://t.co/WAVzvVmCRV Lapindo tumpah klitih Newcastle Ronaldo Not Her Gubernur Khofifah De Gea Persija  https://t.co/sRLGKejI7D",in,[],[],1333786893469634562,1333786893469634562,DJ__007__,Aiek Channel,2,05,https://twitter.com/DJ__007__/status/1475704763425562624,['https://youtu.be/8TWvpEwS6oA'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1475703639192653827/pu/img/LcY9nBTVtKIqnzDY.jpg,False,23,10,10,,klitih,,,,,,,[],,,,
6908,1475704748170829824,1475701932438134793,1640670403000.0,2021-12-28 05:46:43,+0000,,"@rayestu Kok ngatur sih, ktp mana kamu. Pokoknya kalo di jogja klitih titik",in,[],[],1148580711168786432,1148580711168786432,BeatboxVagina,Condescending Waifu,2,05,https://twitter.com/BeatboxVagina/status/1475704748170829824,[],[],0,,False,1,1,1,,klitih,,,,,,,"[{'screen_name': 'rayestu', 'name': 'Nathaniel Rayestu', 'id': '76984137'}]",,,,
6909,1475704740851830785,1475435522772267010,1640670402000.0,2021-12-28 05:46:42,+0000,,@BuruhYogyakarta @kinderpoyyy Mungkin kedepannya akan ada wisata klitih di jogja,in,[],[],1090109720516427776,1090109720516427776,feblistiawan,Fer,2,05,https://twitter.com/feblistiawan/status/1475704740851830785,[],[],0,,False,2,0,0,,klitih,,,,,,,"[{'screen_name': 'BuruhYogyakarta', 'name': 'Buruh Yogyakarta', 'id': '1234645668163129344'}, {'screen_name': 'kinderpoyyy', 'name': 'Pipoy🍬', 'id': '1398127958196244481'}]",,,,
6910,1475704734434557952,1475704734434557952,1640670400000.0,2021-12-28 05:46:40,+0000,,"Untuk yg suka nanya ""klitih"" itu apa... Ini yaaa...",in,[],[],1172520084763316224,1172520084763316224,xiongmaobi,Pan 🐼,2,05,https://twitter.com/xiongmaobi/status/1475704734434557952,[],[],0,,False,13,3,0,https://twitter.com/rizqonafi/status/1475510054690295808,klitih,,,,,,,[],,,,
6911,1475704729791463428,1475692610035458050,1640670399000.0,2021-12-28 05:46:39,+0000,,"@mojokdotco Jgn cuma dibina, Ancaman perlu, Tidak diterbitkan SKCK dan buat madesu Biar generasi muda ""klitih"" mikir",in,[],[],239144833,239144833,sigitshertanto,Sgt,2,05,https://twitter.com/sigitshertanto/status/1475704729791463428,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'mojokdotco', 'name': 'Mojok.co', 'id': '2388795571'}]",,,,
6912,1475704726951907330,1475658446355648514,1640670398000.0,2021-12-28 05:46:38,+0000,,"@simendezz Masalahe yang klitih biasanya (gak semua) anak SMA/K mbak, jadi sebenere nek bersatu berantas klitih sama aja disuruh brantas temene sendiri",in,[],[],381533260,381533260,nepxtuuuun,ndrong,2,05,https://twitter.com/nepxtuuuun/status/1475704726951907330,[],[],0,,False,0,1,0,,klitih,,,,,,,"[{'screen_name': 'simendezz', 'name': 'eeput!', 'id': '1117967124629086208'}]",,,,
6913,1475704710854180866,1475642349149515777,1640670394000.0,2021-12-28 05:46:34,+0000,,@Rosita_1485 @Puthutea baru klitih 🤭🤭  asemmm tak kiro opo ?,in,[],[],1305377788485009414,1305377788485009414,Rasambahyar1,Souldout,2,05,https://twitter.com/Rasambahyar1/status/1475704710854180866,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'Puthutea', 'name': 'Puthut EA', 'id': '153608362'}]",,,,
6914,1475704685067583488,1475702678143467520,1640670388000.0,2021-12-28 05:46:28,+0000,,@yoohjinnie Ket biyen rakyo wes sum klitih ra bar2😭 aman lur tenang wae amann,in,[],[],1444281031859658753,1444281031859658753,matchaoting,ril kep1ian sejati,2,05,https://twitter.com/matchaoting/status/1475704685067583488,[],[],0,,False,0,1,0,,klitih,,,,,,,"[{'screen_name': 'yoohjinnie', 'name': 'opi', 'id': '1433701381056000000'}]",,,,
6915,1475704674829225985,1475642349149515777,1640670386000.0,2021-12-28 05:46:26,+0000,,"@NuKultural1 @Puthutea kalo penodongan mah tujuannya ada , klo klitih elu disabet buat iseng2 doang karena gabut",in,[],[],946673062732292096,946673062732292096,Last__Sword,gregorius theodorus,2,05,https://twitter.com/Last__Sword/status/1475704674829225985,[],[],0,,False,0,0,0,,klitih,,,,,,,"[{'screen_name': 'NuKultural1', 'name': 'JanganPanggilAkuGus', 'id': '1442266321891119105'}, {'screen_name': 'Puthutea', 'name': 'Puthut EA', 'id': '153608362'}]",,,,
